,smiles,pXC50,Original_Entry_ID,DB,MW,HA,HD,logP,Lipinski rule
7206,S=1(O)(O)=CC2=C(N3CCC(CC3)CC(=O)O)N=C(N=C2C1)C4=CC=CC=C4,5.09724426269531,71625226,pubchem,387.461,6,3,2.8995,True
7207,S1C(NC=2C=CC(CCN3[C@H](CCCC3)CO)=CC2)=NC(C4=CC=CC=C4)=C1,5.09781455993652,71814309,pubchem,393.556,5,2,4.943,True
7208,C=1C=C(NC2=NC(C3=CC=CC=C3)=CS2)C=CC1CCN4[C@@H](CO)CCCC4,5.09781455993652,CHEMBL2409871,chembl20,393.556,5,2,4.94300000000001,True
7209,S(C1=C(O)N(C(O)=C1)C2=CC=CC=C2)/C(=N/N=C(/C=3SC=CC3)\C)/N,5.09781932830811,CHEMBL3193397,chembl20,372.475,7,3,3.781,True
7215,S(C=1C=C(O)N(C1O)C2=CC=CC=C2)/C(/N)=N/N=C(/C=3SC=CC3)\C,5.09781932830811,9566953,pubchem_screening,372.475,7,3,3.781,True
7216,S(C=1C=C(O)N(C1O)C2=CC=CC=C2)/C(/N)=N/N=C(/C=3SC=CC3)\C,5.09781932830811,9566953,pubchem,372.475,7,3,3.781,True
7423,OC1=C(C=CC(O)=C1O)/C=N/N2CCCCC2,5.0980749130249,CHEMBL2001761,chembl20,236.271,5,3,1.6232,True
7435,OC=1C(C=NN2CCCCC2)=CC=C(O)C1O,5.0980749130249,5820077,pubchem_screening,236.271,5,3,1.6232,True
7438,OC=1C(C=NN2CCCCC2)=CC=C(O)C1O,5.0980749130249,5820077,pubchem,236.271,5,3,1.6232,True
7583,OC(=NO)/C(=C/C1=CC=2C(C=C1)=CC=CC2)/C,5.09820365905762,20238032,pubchem,227.263,2,2,3.5888,True
7584,S(C(=S)N=C1C(=O)N(N(C1C)C)C2=CC=CC=C2)CC=C,5.09867668151856,CHEMBL1529977,chembl20,319.455,4,0,2.9136,True
7588,S(C(=S)N=C1C(N(N(C1=O)C2=CC=CC=C2)C)C)CC=C,5.09867668151856,2140182,pubchem_screening,319.455,4,0,2.9136,True
7591,S(C(=S)N=C1C(N(N(C1=O)C2=CC=CC=C2)C)C)CC=C,5.09867668151856,2140182,pubchem,319.455,4,0,2.9136,True
7791,S(C=1N=C2N(C3=C(C2=NN1)C=CC=C3)CC)CC(=O)N=C4C(=O)N(N(C4C)C)C5=CC=CC=C5,5.09933423995972,CHEMBL1385986,chembl20,473.562,8,0,3.3412,True
7795,S(C1=NC=2N(C=3C(C2N=N1)=CC=CC3)CC)CC(=O)N=C4C(N(N(C4=O)C5=CC=CC=C5)C)C,5.09933423995972,6323682,pubchem_screening,473.562,8,0,3.3412,True
7798,S(C1=NC=2N(C=3C(C2N=N1)=CC=CC3)CC)CC(=O)N=C4C(N(N(C4=O)C5=CC=CC=C5)C)C,5.09933423995972,6323682,pubchem,473.562,8,0,3.3412,True
8009,OS(=NC=1N(C2=CC=CC=C2)N=CC1C(=O)NC(CC)CC)(=C3CCCC3)O,5.10013914108276,CHEMBL1916260,chembl20,404.536,4,3,4.4522,True
8010,C1=CC(=CC=C1CNC2CCCCC2)C(O)=NO,5.10019111633301,CHEMBL443075,chembl20,248.326,3,3,2.8027,True
8011,FC(F)(F)C=1N(CC=2N=CC(C(=O)N[C@H]3[C@H](CCC3)C(O)=NO)=CC2)C=4C(N1)=CC=CC4,5.10104465484619,56678964,pubchem,447.417,6,3,3.7426,True
8012,OC=1C(C=NCCC=2C=CC(O)=CC2)=C(O)NC1,5.10139417648315,1713547,pubchem,246.266,4,4,1.7931,True
8014,OC=1C(C=NCCC=2C=CC(O)=CC2)=C(O)NC1,5.10139417648315,1713547,pubchem_screening,246.266,4,4,1.7931,True
8017,S(C=1N(C=NN1)C)CC=2C=CC(C(=O)N=NC=3C4=C(N(C3O)CC)C=CC=C4)=CC2,5.10176467895508,CHEMBL1340293,chembl20,420.498,8,1,4.7117,True
8028,S(CC=1C=CC(C(=O)N=NC=2C3=C(N(CC)C2O)C=CC=C3)=CC1)C=4N(C)C=NN4,5.10176467895508,9565746,pubchem_screening,420.498,8,1,4.7117,True
8031,S(CC=1C=CC(C(=O)N=NC=2C3=C(N(CC)C2O)C=CC=C3)=CC1)C=4N(C)C=NN4,5.10176467895508,9565746,pubchem,420.498,8,1,4.7117,True
8223,C1=CC=C2C=3CCN(CC3N(CC=4C=CC(=CC4)C(=NO)O)C2=C1)C,5.10196828842163,CHEMBL2018451,chembl20,335.407,4,2,3.3713,True
8224,OC(=NO)C=1C=CC(CN2C3=C(CCN(C3)C)C=4C2=CC=CC4)=CC1,5.10196828842163,46918825,pubchem,335.407,4,2,3.3713,True
8225,C(N[C@H]1C2=C(C=CC=C2)CC1)([C@@H](CC(O)=NO)CC=3C=CC(=CC3)O)=O,5.10231685638428,CHEMBL323874,chembl20,354.406,4,4,3.0904,True
8229,OC(=O)C1CC(CCC1=NC(=O)CCC=2C=C3C(=CC2)C=C(O)C=C3)CCCC,5.10265064239502,46890270,pubchem,395.499,3,2,5.13670000000001,False
8230,C1(C2=CC=CC=C2)=CSC(NC3=CC=C(CCN4[C@H](C[C@@H](O)CC4)CO)C=C3)=N1,5.10279035568237,CHEMBL2409879,chembl20,409.555,6,3,3.9138,True
8231,S1C(NC=2C=CC(CCN3[C@H](C[C@@H](O)CC3)CO)=CC2)=NC(C4=CC=CC=C4)=C1,5.10279035568237,71814675,pubchem,409.555,6,3,3.9138,True
8232,C(CN1CCC(COC2=NC3=C(C=CC=C3C=4C2=CC=CN4)F)CC1)C,5.10286712646484,CHEMBL2181170,chembl20,353.441,4,0,4.4229,True
8234,FC1=C2N=C(OCC3CCN(CC3)CCC)C4=C(N=CC=C4)C2=CC=C1,5.10286712646484,71455625,pubchem,353.441,4,0,4.4229,True
8238,C(CCSC=1C=C2C=CC=CC2=CC1)(O)=NO,5.10302448272705,CHEMBL369436,chembl20,247.319,3,2,3.6677,True
8239,FC(F)(F)CCN1CCC(CC1)COC2=NC=3C(C=4N=CC=CC24)=CC=CC3F,5.10317373275757,72698087,pubchem,407.411,4,0,4.9653,True
8240,C1=CC(=C2C(=C1)C=3C(C(=N2)OCC4CCN(CC4)CCC(F)(F)F)=CC=CN3)F,5.10317373275757,CHEMBL3093186,chembl20,407.411,4,0,4.9653,True
8242,O=C1N(N(C(=C1/N=C/C=2NC=CC2)C)C)C3=CC=CC=C3,5.10412502288818,CHEMBL3213446,chembl20,280.331,4,1,2.56312,True
8246,O=C1N(N(C(=C1N=CC=2NC=CC2)C)C)C3=CC=CC=C3,5.10412502288818,5310641,pubchem_screening,280.331,4,1,2.56312,True
8249,O=C1N(N(C(=C1N=CC=2NC=CC2)C)C)C3=CC=CC=C3,5.10412502288818,5310641,pubchem,280.331,4,1,2.56312,True
8495,S(CC=1C=CC(=CC1)C(=O)N=NC=2C3=C(N(C2O)C)C=CC=C3)C=4N(C)C=NN4,5.10456943511963,6269259,pubchem_screening,406.471,8,1,4.2288,True
8498,S(CC=1C=CC(=CC1)C(=O)N=NC=2C3=C(N(C2O)C)C=CC=C3)C=4N(C)C=NN4,5.10456943511963,6269259,pubchem,406.471,8,1,4.2288,True
8697,S(C=1N(C=NN1)C)CC=2C=CC(C(=O)N=NC=3C4=C(N(C3O)C)C=CC=C4)=CC2,5.10456943511963,CHEMBL1561769,chembl20,406.471,8,1,4.2288,True
8702,C1=CC=C2N=C(SC2=C1)NC3CCN(CC3)CC4=CC=C(C(=C4)OCC)OC,5.10492420196533,CHEMBL238057,chembl20,397.544,6,1,4.7801,True
8703,OC1=NC(N2C(CCCC2)C)=NC=3CN(CCC31)CC=4C=C(O)C(OC)=CC4,5.10496234893799,16675407,pubchem_screening,384.48,7,2,2.8335,True
8704,C1=CC=C(N=NC=2C(O)=NC(SC)=NC2N)C=C1,5.10504770278931,CHEMBL1563172,chembl20,261.31,7,2,2.9017,True
8719,C=1C=CC(N=NC=2C(=NC(SC)=NC2O)N)=CC1,5.10504770278931,5992379,pubchem_screening,261.31,7,2,2.9017,True
8722,C=1C=CC(N=NC=2C(=NC(SC)=NC2O)N)=CC1,5.10504770278931,5992379,pubchem,261.31,7,2,2.9017,True
8891,S(CCN(CC)CC)C(=NO)C=1ON=C(N1)C=2C=CC=CC2,5.10510015487671,13676632,pubchem,320.418,7,1,2.9474,True
8892,C1(=NC(C=2C=CC=CC2)=NO1)/C(=N/O)/SCCN(CC)CC,5.10510015487671,CHEMBL20339,chembl20,320.418,7,1,2.9474,True
8893,S(C1=NC(O)=C(C(=N1)N)C=2C=CC=CC2)CC(=O)N(CC)CC,5.105149269104,CHEMBL1876613,chembl20,332.429,6,2,2.3919,True
8894,S(CC(=O)N(CC)CC)C=1N=C(N)C(C=2C=CC=CC2)=C(O)N1,5.105149269104,848462,pubchem_screening,332.429,6,2,2.3919,True
8897,S(CC(=O)N(CC)CC)C=1N=C(N)C(C=2C=CC=CC2)=C(O)N1,5.105149269104,848462,pubchem,332.429,6,2,2.3919,True
9101,OC=1N(C(O)=CC1)C=C(O)N=C2C=CC(CC3=CC=C(NC(=O)CN4C(O)=CC=C4O)C=C3)=CC2,5.10516786575317,16194936,pubchem_screening,476.489,9,6,3.6346,False
9104,OC=1N(C(O)=CC1)C=C(O)N=C2C=CC(CC3=CC=C(NC(=O)CN4C(O)=CC=C4O)C=C3)=CC2,5.10516786575317,16194936,pubchem,476.489,9,6,3.6346,False
9308,S(C=1N=C(O)C(CC)=C(O)N1)CC(=O)NC=2C=C(F)C=CC2,5.10573482513428,1073908,pubchem_screening,323.349,6,3,2.3201,True
9309,S(C=1C=C(O)N(C1O)C2=CC=CC=C2)/C(/NC)=N/C,5.10582256317139,2869084,pubchem_screening,277.349,5,3,2.1858,True
9312,S(C=1C=C(O)N(C1O)C2=CC=CC=C2)/C(/NC)=N/C,5.10582256317139,2869084,pubchem,277.349,5,3,2.1858,True
9556,S(C1=C(O)N(C(O)=C1)C2=CC=CC=C2)C(=NC)NC,5.10582256317139,CHEMBL1412655,chembl20,277.349,5,3,2.1858,True
9557,S(CCC)/C(=N/N=CC1=C(O)C=CC=C1)/N,5.10587739944458,9551840,pubchem_screening,237.328,4,2,2.184,True
9560,S(CCC)/C(=N/N=CC1=C(O)C=CC=C1)/N,5.10587739944458,9551840,pubchem,237.328,4,2,2.184,True
9770,S(C(=N/N=C/C1=C(O)C=CC=C1)N)CCC,5.10587739944458,CHEMBL2369241,chembl20,237.328,4,2,2.184,True
9782,O=C1N(N(C(C1=NC=2N3C(=NC=4C3=CC=CC4)C(=C(C2CC)C)C#N)C)C)C5=CC=CC=C5,5.1060791015625,658813,pubchem_screening,436.519,6,0,4.5846,True
9785,O=C1N(N(C(C1=NC=2N3C(=NC=4C3=CC=CC4)C(=C(C2CC)C)C#N)C)C)C5=CC=CC=C5,5.1060791015625,658813,pubchem,436.519,6,0,4.5846,True
10023,O=C1N(N(C(C1=NC=2N3C(=NC=4C3=CC=CC4)C(=C(C2CC)C)C#N)C)C)C5=CC=CC=C5,5.1060791015625,CHEMBL1339670,chembl20,436.519,6,0,4.5846,True
10033,O=C(N/N=C/C1=CC=2C(C=C1)=CC=CC2)CCCCC(O)=NO,5.10628700256348,44506954,pubchem_screening,313.357,4,3,3.196,True
10035,S(O)(O)(N=C1C(CCCC1)C)=CCNC(=O)C=2C=CC=CC2,5.10690259933472,16800150,pubchem_screening,324.446,4,4,3.2676,True
10038,S(O)(O)(N=C1C(CCCC1)C)=CCNC(=O)C=2C=CC=CC2,5.10690259933472,16800150,pubchem,324.446,4,4,3.2676,True
10173,S(O)(O)(N=C1C(CCCC1)C)=CCNC(=O)C=2C=CC=CC2,5.10690259933472,CHEMBL1736198,chembl20,324.446,4,4,3.2676,True
10176,N=1C2=CC(=CC=C2N3C=CC=C3C1O)CN4CCCC4=O,5.10696315765381,CHEMBL539474,chembl20,281.315,4,1,2.3155,True
10304,S(C1=NC=2N(N=CC2C(O)=N1)C3=CC=CC=C3)CC(=O)N4CCCCC4,5.10707569122314,CHEMBL1714890,chembl20,369.45,7,1,2.6257,True
10309,S(CC(=O)N1CCCCC1)C2=NC=3N(N=CC3C(O)=N2)C4=CC=CC=C4,5.10707569122314,2152944,pubchem_screening,369.45,7,1,2.6257,True
10312,S(CC(=O)N1CCCCC1)C2=NC=3N(N=CC3C(O)=N2)C4=CC=CC=C4,5.10707569122314,2152944,pubchem,369.45,7,1,2.6257,True
10493,C1=C(C=C2C=CC(=CC2=C1)O)CCC(N=C3CCC(CC3C(O)=O)C)=O,5.10721921920776,CHEMBL1083174,chembl20,353.418,3,2,3.9664,True
10494,O1C(NC2CCN(CC2)CC3=CC(OCC)=C(O)C=C3)=NC=4C1=CC=CC4,5.10759782791138,24740750,pubchem,367.449,6,2,4.0086,True
10495,C=1C(=CC=C(C1)CC(C(O)=NO)N)N=N#N,5.10781240463257,CHEMBL219199,chembl20,221.22,4,3,1.8439,True
10496,C1=CC=2N=NN(C=3C=C(OC(F)(F)F)C=CC3)C2N=C1NCC4CCN(CC4)CCF,5.10793733596802,CHEMBL1952117,chembl20,438.429,7,1,3.8075,True
10497,S1C(=C(O)N=C1O)CC=2C=CC(N)=CC2,5.10810518264771,CHEMBL1520227,chembl20,222.269,5,3,1.7273,True
10499,S1C(CC=2C=CC(N)=CC2)=C(O)N=C1O,5.10810518264771,2768377,pubchem_screening,222.269,5,3,1.7273,True
10502,S1C(CC=2C=CC(N)=CC2)=C(O)N=C1O,5.10810518264771,2768377,pubchem,222.269,5,3,1.7273,True
10716,S1C(N=C2C(N(N(C2=O)C3=CC=CC=C3)C)C)=NN=C(C=4C=CC(CC)=CC4)C1,5.10823726654053,5253467,pubchem_screening,405.527,6,0,3.779,True
10719,S1C(N=C2C(N(N(C2=O)C3=CC=CC=C3)C)C)=NN=C(C=4C=CC(CC)=CC4)C1,5.10823726654053,5253467,pubchem,405.527,6,0,3.779,True
10918,S1C(N=C2C(=O)N(N(C2C)C)C3=CC=CC=C3)=NN=C(C=4C=CC(=CC4)CC)C1,5.10823726654053,CHEMBL1387360,chembl20,405.527,6,0,3.779,True
10925,S1/C(/N(C(=C1)C)C)=N/C(=S)NC=2C=CC=CC2,5.10873031616211,5400558,pubchem_screening,263.391,3,1,2.69272,True
10928,S1/C(/N(C(=C1)C)C)=N/C(=S)NC=2C=CC=CC2,5.10873031616211,5400558,pubchem,263.391,3,1,2.69272,True
11119,S1/C(/N(C(=C1)C)C)=N/C(=S)NC=2C=CC=CC2,5.10873031616211,CHEMBL3199917,chembl20,263.391,3,1,2.69272,True
11129,OC1CCN(CC1)CC2=CC=3C(C=C2)=CC=CC3,5.10924911499023,764610,pubchem_screening,241.334,2,1,2.7965,True
11132,OC1CCN(CC1)CC2=CC=3C(C=C2)=CC=CC3,5.10924911499023,764610,pubchem,241.334,2,1,2.7965,True
11279,OC1CCN(CC=2C=C3C(=CC2)C=CC=C3)CC1,5.10924911499023,CHEMBL1501698,chembl20,241.334,2,1,2.7965,True
11284,C1(=C(C(=C(C=C1)/C=N/N\2C(=CS/C2=N\C3CCCCC3)C)O)O)O,5.10935115814209,CHEMBL3265288,chembl20,347.44,7,3,3.09042,True
11285,S1/C(=N\C2CCCCC2)/N(N=CC=3C(O)=C(O)C(O)=CC3)C(=C1)C,5.10935115814209,16241412,pubchem,347.44,7,3,3.09042,True
11286,C1(=CC=CC(=C1F)C=2N=C(SC2)NC=3C=CC(=CC3)CCN4[C@H](C[C@H](CC4)O)CO)C(F)(F)F,5.10953569412231,CHEMBL2409848,chembl20,495.542,6,3,5.07170000000001,False
11287,S1C(NC=2C=CC(CCN3[C@H](C[C@@H](O)CC3)CO)=CC2)=NC(C4=C(F)C(=CC=C4)C(F)(F)F)=C1,5.10953569412231,71812416,pubchem,495.542,6,3,5.0717,False
11288,O=C1N(N(C(C1=NC(=O)N(CC)CC)C)C)C2=CC=CC=C2,5.10970687866211,735657,pubchem_screening,302.378,3,0,2.1713,True
11291,O=C1N(N(C(C1=NC(=O)N(CC)CC)C)C)C2=CC=CC=C2,5.10970687866211,735657,pubchem,302.378,3,0,2.1713,True
11506,O=C1N(N(C(C1=NC(=O)N(CC)CC)C)C)C2=CC=CC=C2,5.10970687866211,CHEMBL1438459,chembl20,302.378,3,0,2.1713,True
11507,FC(F)(F)C=1C(=C(N=C(C1)C2=CC=CC=C2)N(CC)CC)C#N,5.11002922058106,CHEMBL1577976,chembl20,319.33,3,0,4.48528,True
11517,FC(F)(F)C=1C(=C(N(CC)CC)N=C(C1)C=2C=CC=CC2)C#N,5.11002922058106,1477171,pubchem_screening,319.33,3,0,4.48528,True
11520,FC(F)(F)C=1C(=C(N(CC)CC)N=C(C1)C=2C=CC=CC2)C#N,5.11002922058106,1477171,pubchem,319.33,3,0,4.48528,True
11724,N1=C(N2CCC(CC2)CO)N=C3N(C=C)C=NC3=C1NC4=CC=C(P(C)(C)=O)C=C4,5.11023712158203,CHEMBL2036010,chembl20,426.461,8,2,3.1271,True
11725,OC=1C=2N=CC(N3CCCC3)=CC2C=CC1,5.11028480529785,CHEMBL1318406,chembl20,214.268,3,1,2.5406,True
11726,C1=CC=2C(C=C1)=CC(=CC2)C=S(=CC(=O)/N=C/3\SC=C(N3O)CC(O)=O)(O)O,5.11042928695679,CHEMBL2312530,chembl20,420.468,7,4,2.3978,True
11727,O[N+]=1C=2C([N+](O)=C3C1CCCC3)=CC=CC2,5.11070442199707,CHEMBL1370774,chembl20,218.256,2,2,0.768199999999999,True
11728,S1/C(/N(C(C2=CC=CC=C2)=C1)CCO)=N\C3=C(N(N(C3=O)C4=CC=CC=C4)C)C,5.11133480072022,1279727,pubchem_screening,406.511,7,1,3.23912,True
11731,S1/C(/N(C(C2=CC=CC=C2)=C1)CCO)=N\C3=C(N(N(C3=O)C4=CC=CC=C4)C)C,5.11133480072022,1279727,pubchem,406.511,7,1,3.23912,True
11935,S1/C(/N(C(C2=CC=CC=C2)=C1)CCO)=N\C=3C(=O)N(N(C3C)C)C4=CC=CC=C4,5.11133480072022,CHEMBL3199890,chembl20,406.511,7,1,3.23912,True
11938,S(C=1N(C(O)=C2N=C3C(=C2N1)C=CC=C3)C)C=C(O)NC=4C=CC(=CC4)CC,5.111412525177,CHEMBL1593599,chembl20,392.484,7,3,4.9022,True
11941,S=C(N=NC=1C2=C(N=C(O)C=C2)C(O)=CC1O)N,5.11149549484253,CHEMBL1735496,chembl20,264.266,6,4,1.6789,True
11953,S=1(O)(O)=NC(O[C@@H]2C1CCCC2)=NC=3C=CC=CC3,5.11173915863037,71813157,pubchem,280.349,2,2,3.1029,True
11954,O1C=2N(CCC1)C=3C(C2C(=O)NCC4CCN(CC4)CC=5C=CC(=CC5)C(O)=O)=CC=CC3,5.11216354370117,53320666,pubchem,447.535,5,2,3.764,True
11955,OC=1C(C(=NN2CCCCC2)C)=CC=CC1,5.1124119758606,6137956,pubchem_screening,218.3,3,1,2.6021,True
11958,OC=1C(C(=NN2CCCCC2)C)=CC=CC1,5.1124119758606,6137956,pubchem,218.3,3,1,2.6021,True
12118,OC1=C(/C(=N/N2CCCCC2)/C)C=CC=C1,5.1124119758606,CHEMBL3189181,chembl20,218.3,3,1,2.6021,True
12119,N1=C2N(C(=C1C(C3=CC=CC=C3)=C)O)CCCCS2,5.11244678497314,CHEMBL3220944,chembl20,272.373,4,1,3.5361,True
12120,FC(F)(F)C1=C(OCC)C=C(CN2CCC(NC=3OC=4C(N3)=CC=CC4)CC2)C=C1,5.11306762695313,46882789,pubchem,419.447,5,1,5.3218,False
12121,O(C=1C=C(CC/C(=N/O)/C)C=CC1O)C,5.11318778991699,9580377,pubchem_screening,209.245,4,2,2.1835,True
12124,S(C=1N(C(=O)C2=C(N1)C=CC=C2)CCO)C(C(=O)N=C3C(=O)N(N(C3C)C)C4=CC=CC=C4)C,5.11407470703125,CHEMBL1568275,chembl20,479.562,8,1,2.1191,True
12127,S(C(C(=O)N=C1C(N(N(C1=O)C2=CC=CC=C2)C)C)C)C=3N(CCO)C(=O)C4=C(N3)C=CC=C4,5.11407470703125,2999239,pubchem_screening,479.562,8,1,2.1191,True
12130,S(C(C(=O)N=C1C(N(N(C1=O)C2=CC=CC=C2)C)C)C)C=3N(CCO)C(=O)C4=C(N3)C=CC=C4,5.11407470703125,2999239,pubchem,479.562,8,1,2.1191,True
12371,OCC(C(CC1=CC(OC)=C(O)C=C1)CO)CC2=CC(OC)=C(O)C=C2,5.11433410644531,586372,pubchem_screening,362.422,6,4,2.1172,True
12377,C([C@H]([C@@H](CC1=CC(OC)=C(C=C1)O)CO)CO)C2=CC(OC)=C(C=C2)O,5.11433410644531,CHEMBL368347,chembl20,362.422,6,4,2.1172,True
12381,OC[C@@H]([C@@H](CC1=CC(OC)=C(O)C=C1)CO)CC2=CC(OC)=C(O)C=C2,5.11433410644531,65373,pubchem_screening,362.422,6,4,2.1172,True
12427,S(/C(=N\N1C(=O)C2=C(N=C1)C=CC=C2)/N(CC)CC)CC=C,5.11456346511841,CHEMBL3198255,chembl20,316.43,5,0,2.7766,True
12429,S(/C(/N(CC)CC)=N\N1C(=O)C2=C(N=C1)C=CC=C2)CC=C,5.11456346511841,9600527,pubchem_screening,316.43,5,0,2.7766,True
12432,S(/C(/N(CC)CC)=N\N1C(=O)C2=C(N=C1)C=CC=C2)CC=C,5.11456346511841,9600527,pubchem,316.43,5,0,2.7766,True
12644,OC(=NO)[C@@H]1[C@H](NC(=O)C=2C=CC(=NC2)CN3C=4C(N=C3C)=CC=CC4)CCCC1,5.11479616165161,56678962,pubchem,407.474,6,3,3.42232,True
12645,S1/C(/N(C(C2=CC=CC=C2)=C1)C)=N\C3=C(N(N(C3=O)C4=CC=CC=C4)C)C,5.11487102508545,1498144,pubchem_screening,376.485,6,0,3.78382,True
12648,S1/C(/N(C(C2=CC=CC=C2)=C1)C)=N\C3=C(N(N(C3=O)C4=CC=CC=C4)C)C,5.11487102508545,1498144,pubchem,376.485,6,0,3.78382,True
12847,S1/C(=N\C=2C(=O)N(N(C2C)C)C3=CC=CC=C3)/N(C(C4=CC=CC=C4)=C1)C,5.11487102508545,CHEMBL3196902,chembl20,376.485,6,0,3.78382,True
12851,S1C=2N(N=C(N2)C=3C=CC=CC3)C(=C1)CC=NS(O)(=O)C,5.11499547958374,CHEMBL1873600,chembl20,322.415,5,2,2.1056,True
12852,S(O)(=O)(N=CCC=1N2N=C(N=C2SC1)C=3C=CC=CC3)C,5.11499547958374,7244501,pubchem,322.415,5,2,2.1056,True
12853,S(O)(=O)(N=CCC=1N2N=C(N=C2SC1)C=3C=CC=CC3)C,5.11499547958374,7244501,pubchem_screening,322.415,5,2,2.1056,True
12886,OC1=C(C=CC(O)=C1)C=N/N=C(/N=N(O)=O)\N,5.11511850357056,5333356,pubchem_screening,239.191,5,4,0.0981,True
12889,OC1=C(C=CC(O)=C1)C=N/N=C(/N=N(O)=O)\N,5.11511850357056,5333356,pubchem,239.191,5,4,0.0981,True
13100,C1=CC=C2N(C(=NC2=C1)C3=CC(=CC=C3)/C=C/C(=NO)O)CCN(CC)CC,5.11525106430054,CHEMBL1095711,chembl20,378.476,5,2,4.404,True
13101,OC(=NO)/C=C/C=1C=C(C=2N(CCN(CC)CC)C=3C(N2)=CC=CC3)C=CC1,5.11525106430054,46887558,pubchem,378.476,5,2,4.404,True
13103,FC(F)(F)C=1N2N=CC(=C2N=C(C1)C=3OC=CC3)C(=O)N=C4C(=O)N(N(C4C)C)C5=CC=CC=C5,5.11525583267212,CHEMBL1374062,chembl20,482.422,7,0,3.8714,True
13109,FC(F)(F)C=1N2N=CC(=C2N=C(C1)C=3OC=CC3)C(=O)N=C4C(N(N(C4=O)C5=CC=CC=C5)C)C,5.11525583267212,1111059,pubchem_screening,482.422,7,0,3.8714,True
13112,FC(F)(F)C=1N2N=CC(=C2N=C(C1)C=3OC=CC3)C(=O)N=C4C(N(N(C4=O)C5=CC=CC=C5)C)C,5.11525583267212,1111059,pubchem,482.422,7,0,3.8714,True
13349,S(C=1N=NC=C2C1C=CC=C2)CC(=O)N=C3C(=O)N(N(C3C)C)C4=CC=CC=C4,5.11531543731689,CHEMBL1449934,chembl20,405.483,6,0,2.9716,True
13353,S(CC(=O)N=C1C(N(N(C1=O)C2=CC=CC=C2)C)C)C=3N=NC=C4C3C=CC=C4,5.11531543731689,2955508,pubchem_screening,405.483,6,0,2.9716,True
13356,S(CC(=O)N=C1C(N(N(C1=O)C2=CC=CC=C2)C)C)C=3N=NC=C4C3C=CC=C4,5.11531543731689,2955508,pubchem,405.483,6,0,2.9716,True
13584,S\1C(=S)N(CCCC(=O)N=C2C(N(N(C2=O)C3=CC=CC=C3)C)C)C(=O)/C1=C/C4=CC=CC=C4,5.11560583114624,1641148,pubchem,492.626,6,0,3.9177,True
13585,S\1C(=S)N(CCCC(=O)N=C2C(N(N(C2=O)C3=CC=CC=C3)C)C)C(=O)/C1=C/C4=CC=CC=C4,5.11560583114624,1641148,pubchem_screening,492.626,6,0,3.9177,True
13588,OC=1C(C(=O)NN=C2CCN(CC2)C)=CC3=C(C1)C=CC=C3,5.11582946777344,749647,pubchem,297.358,4,2,2.3568,True
13590,O=C1N(N(C(C1=NC(=O)CC(=O)N=C2C(N(N(C2=O)C3=CC=CC=C3)C)C)C)C)C4=CC=CC=C4,5.11602067947388,1286955,pubchem_screening,474.521,6,0,1.8759,True
13593,O=C1N(N(C(C1=NC(=O)CC(=O)N=C2C(N(N(C2=O)C3=CC=CC=C3)C)C)C)C)C4=CC=CC=C4,5.11602067947388,1286955,pubchem,474.521,6,0,1.8759,True
13834,O=C1N(N(C(C1=NC(=O)CC(=O)N=C2C(=O)N(N(C2C)C)C3=CC=CC=C3)C)C)C4=CC=CC=C4,5.11602067947388,CHEMBL1349789,chembl20,474.521,6,0,1.8759,True
13836,O(CC1CCN(CC1)CCC)C=2N=C3C(=C4C2C=CN=C4)C=CC=C3,5.11608743667603,71452073,pubchem,335.451,4,0,4.2838,True
13837,S1C=C(C(=O)N=C2C(=O)N(N(C2C)C)C3=CC=CC=C3)C=C1C,5.11613130569458,CHEMBL1561241,chembl20,327.409,4,0,2.91982,True
13841,S1C(=CC(C(=O)N=C2C(N(N(C2=O)C3=CC=CC=C3)C)C)=C1)C,5.11613130569458,1246813,pubchem_screening,327.409,4,0,2.91982,True
13844,S1C(=CC(C(=O)N=C2C(N(N(C2=O)C3=CC=CC=C3)C)C)=C1)C,5.11613130569458,1246813,pubchem,327.409,4,0,2.91982,True
14084,O(C=1C(N=NC2=C(O)C3=C(N=C2O)C=CC=C3)=CC(OC)=C(/N=N/C4=CC=CC=C4)C1)C,5.11678171157837,5464750,pubchem_screening,429.436,9,2,6.49400000000001,False
14086,O(C=1C(N=NC2=C(O)C3=C(N=C2O)C=CC=C3)=CC(OC)=C(/N=N/C4=CC=CC=C4)C1)C,5.11678171157837,5464750,pubchem,429.436,9,2,6.49400000000001,False
14254,OC1=C(N=NC2=C(OC)C=C(N=NC3=CC=CC=C3)C(OC)=C2)C(O)=NC4=C1C=CC=C4,5.11678171157837,CHEMBL1582195,chembl20,429.436,9,2,6.49400000000001,False
14265,S(CC(=O)N=C1C(N(N(C1=O)C2=CC=CC=C2)C)C)C=3N=C(N=C4N(N=CC43)C5=CC=CC=C5)C,5.1169228553772,16328765,pubchem_screening,485.573,8,0,3.46572,True
14268,S(CC(=O)N=C1C(N(N(C1=O)C2=CC=CC=C2)C)C)C=3N=C(N=C4N(N=CC43)C5=CC=CC=C5)C,5.1169228553772,16328765,pubchem,485.573,8,0,3.46572,True
14355,S(C=1N=C(N=C2N(N=CC21)C3=CC=CC=C3)C)CC(=O)N=C4C(=O)N(N(C4C)C)C5=CC=CC=C5,5.1169228553772,CHEMBL2136443,chembl20,485.573,8,0,3.46572,True
